リゾート開発 1日目<br>リゾート開発するにゃ<br>「伝説の札束＋5」をゲットした！！	1日目
リゾート開発 2日目<br>きれいなビーチが売りにゃ<br>「伝説の札束＋5」をゲットした！！	2日目
リゾート開発 3日目<br>立派なホテルが建ったにゃ<br>「伝説の札束＋5」をゲットした！！	3日目
リゾート開発 4日目<br>リゾートの開業祝いとして<br>「にゃんこチケット＋1」をもらった！！	4日目
リゾート開発 5日目<br>炭酸ジュースが体に染みるにゃ<br>「伝説の札束＋5」をゲットした！！	5日目
リゾート開発 6日目<br>楽しめる施設をたくさん作るにゃ<br>「伝説の札束＋5」をゲットした！！	6日目
リゾート開発 7日目<br>リピーターも増えて絶好調にゃ<br>「伝説の札束＋5」をゲットした！！	7日目
リゾート開発 8日目<br>全世界へ向けて宣伝するにゃ<br>「伝説の札束＋5」をゲットした！！	8日目
リゾート開発 9日目<br>オーダーメイドした特注品が届いたにゃ<br>「にゃんこチケット＋1」をゲットした！！	9日目
リゾート開発 10日目<br>リゾート経営がうなぎのぼりにゃ<br>「伝説の札束＋5」をゲットした！！	10日目
リゾート開発 11日目<br>身なりはブランド物でかためるにゃ<br>「伝説の札束＋5」をゲットした！！	11日目
リゾート開発 12日目<br>札束をうちわ代わりにするにゃ<br>「伝説の札束＋5」をゲットした！！	12日目
リゾート開発 13日目<br>プライベートビーチでひと泳ぎにゃ<br>「伝説の札束＋5」をゲットした！！	13日目
リゾート開発 14日目<br>パーティーの招待状とあわせて<br>「レアチケット＋1」をもらった！！	14日目
リゾート開発 15日目<br>移動手段はプライベートジェットにゃ<br>「伝説の札束＋5」をゲットした！！	15日目
リゾート開発 16日目<br>高級フルーツを取り寄せたにゃ<br>「伝説の札束＋5」をゲットした！！	16日目
リゾート開発 17日目<br>石油王と握手を交わしたにゃ<br>「伝説の札束＋5」をゲットした！！	17日目
リゾート開発 18日目<br>歴史に名を残す富豪になるにゃ<br>「伝説の札束＋5」をゲットした！！	18日目
リゾート開発 19日目<br>アタッシュケースの中から<br>「にゃんこチケット＋1」をゲットした！！	19日目
リゾート開発 20日目<br>なんでも現金で一括払いにゃ<br>「伝説の札束＋5」をゲットした！！	20日目
リゾート開発 21日目<br>ここが吾輩のパラダイスにゃ<br>「伝説の札束＋5」をゲットした！！	21日目
